Year,STATEFP,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,label_cause,lower,mean,upper,method,attr
2000,1,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,absolute number,all-cause,5.43474399422748,7.69795885188846,9.7630574017468,EPA,attributable
2000,1,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,age-adjusted rate,all-cause,607.659969475394,860.710540538772,1091.60968189731,EPA,attributable
2000,1,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,crude rate,all-cause,21.6187755846592,30.6215794259456,38.8362997802092,EPA,attributable
2000,1,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,absolute number,all-cause,143.865152034733,203.775563625509,258.44156392978,EPA,attributable
2000,1,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,age-adjusted rate,all-cause,12451.2979613517,17636.4479101306,22367.7024809352,EPA,attributable
2000,1,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,crude rate,all-cause,572.278738353686,810.595344387242,1028.05029607295,EPA,attributable
2000,1,American Indian or Alaska Native,All Origins,F,666,nvss,Deaths,absolute number,all-cause,2.78003605494506,3.93776840904928,4.99414157258853,EPA,attributable
2000,1,American Indian or Alaska Native,All Origins,F,666,nvss,Deaths,age-adjusted rate,all-cause,501.446797285595,710.271851927179,900.814323005194,EPA,attributable
2000,1,American Indian or Alaska Native,All Origins,F,666,nvss,Deaths,crude rate,all-cause,22.2296182228135,31.487033496316,39.9339642778549,EPA,attributable
2000,1,American Indian or Alaska Native,All Origins,F,666,nvss,YLL,absolute number,all-cause,76.821132340503,108.812915407964,138.003825523268,EPA,attributable
2000,1,American Indian or Alaska Native,All Origins,F,666,nvss,YLL,age-adjusted rate,all-cause,10660.4068736073,15099.8809313401,19150.6800976518,EPA,attributable
2000,1,American Indian or Alaska Native,All Origins,F,666,nvss,YLL,crude rate,all-cause,614.274207104614,870.085682136288,1103.50092374274,EPA,attributable
2000,1,American Indian or Alaska Native,All Origins,M,666,nvss,Deaths,absolute number,all-cause,2.65467896490119,3.76015101058463,4.76886608325447,EPA,attributable
2000,1,American Indian or Alaska Native,All Origins,M,666,nvss,Deaths,age-adjusted rate,all-cause,770.317904839636,1091.09677164372,1383.79931369597,EPA,attributable
2000,1,American Indian or Alaska Native,All Origins,M,666,nvss,Deaths,crude rate,all-cause,21.0138444146377,29.7645136593416,37.7492763655067,EPA,attributable
2000,1,American Indian or Alaska Native,All Origins,M,666,nvss,YLL,absolute number,all-cause,67.0420256517871,94.9599344550466,120.434314849586,EPA,attributable
2000,1,American Indian or Alaska Native,All Origins,M,666,nvss,YLL,age-adjusted rate,all-cause,15202.3641171691,21532.993463327,27309.5314281631,EPA,attributable
2000,1,American Indian or Alaska Native,All Origins,M,666,nvss,YLL,crude rate,all-cause,530.68966715576,751.681583590966,953.331076146492,EPA,attributable
2000,1,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,absolute number,all-cause,6.72700424659091,9.50508235855074,12.050612758986,EPA,attributable
2000,1,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,age-adjusted rate,all-cause,452.673241501102,639.615538248041,810.909245738799,EPA,attributable
2000,1,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,crude rate,all-cause,18.3993989403761,25.9978730301434,32.9602930964306,EPA,attributable
2000,1,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,absolute number,all-cause,242.134947090035,342.130394096371,433.7554096652,EPA,attributable
2000,1,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,age-adjusted rate,all-cause,11173.4569185675,15787.8045482912,20015.8937870606,EPA,attributable
2000,1,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,crude rate,all-cause,662.276598260538,935.779639770168,1186.38825432893,EPA,attributable
2000,1,Asian or Pacific Islander,All Origins,F,666,nvss,Deaths,absolute number,all-cause,3.68870808038309,5.21249667892211,6.60852915450862,EPA,attributable
2000,1,Asian or Pacific Islander,All Origins,F,666,nvss,Deaths,age-adjusted rate,all-cause,325.215429162173,459.560449756707,582.641835103157,EPA,attributable
2000,1,Asian or Pacific Islander,All Origins,F,666,nvss,Deaths,crude rate,all-cause,19.2833293971619,27.2491854196357,34.5471752548938,EPA,attributable
2000,1,Asian or Pacific Islander,All Origins,F,666,nvss,YLL,absolute number,all-cause,134.376676534931,189.887072899023,240.743416181321,EPA,attributable
2000,1,Asian or Pacific Islander,All Origins,F,666,nvss,YLL,age-adjusted rate,all-cause,9044.73882306404,12781.0794591376,16204.1611601119,EPA,attributable
2000,1,Asian or Pacific Islander,All Origins,F,666,nvss,YLL,crude rate,all-cause,702.476222149257,992.665967374264,1258.52588311632,EPA,attributable
2000,1,Asian or Pacific Islander,All Origins,M,666,nvss,Deaths,absolute number,all-cause,3.03790844882081,4.29207602099699,5.44144494175414,EPA,attributable
2000,1,Asian or Pacific Islander,All Origins,M,666,nvss,Deaths,age-adjusted rate,all-cause,607.20695583776,857.885765433598,1087.61777193247,EPA,attributable
2000,1,Asian or Pacific Islander,All Origins,M,666,nvss,Deaths,crude rate,all-cause,17.4271939468839,24.6218220571191,31.2152646956984,EPA,attributable
2000,1,Asian or Pacific Islander,All Origins,M,666,nvss,YLL,absolute number,all-cause,107.740134849243,152.219481618979,192.982119664234,EPA,attributable
